key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
XD-686,Story,28,Done,Add redisConnectionFactory with connection pool,Provide some syntax allowing multiple tap points to be directed to a named channel.e.g. tap foo.4 > namedTaptap bar.2 > namedTapor:tap.foo > counter,8,4,3,1,0,Mark Fisher,Gary Russell,Gary Russell,2,0,0,0,0,0,0,0
XD-3117,Story,85,Done,Add registry to lookup module coordinates by name,"Occasional CI test build failures:{quote}Caused by: java.lang.IllegalStateException: Container cache not initialized (likely as a result of a ZooKeeper connection error)at org.springframework.util.Assert.state(Assert.java:385)at org.springframework.xd.dirt.container.store.ZooKeeperContainerRepository.ensureCache(ZooKeeperContainerRepository.java:184)at org.springframework.xd.dirt.container.store.ZooKeeperContainerRepository.findOne(ZooKeeperContainerRepository.java:263){quote}e.g. https://build.spring.io/browse/XD-JDK8-JOB1-1514Add logging to {{ensureCache()}} (e.g. in {{childEvent()}} ) and {{closeCache()}} to log that the cache was closed; it appears that's the only way the ""cache not initialized"" message can be emitted.",1,4,1,1,0,Patrick Peralta,Gary Russell,Gary Russell,0,0,0,0,0,0,0,0
XD-1329,Improvement,62,Done,Add regression test,This would use the Kafka Spring Integration Extension. We have a version of this working but had to modify the adapter code as its not currently compatible with Spring Integration 4. See INTEXT-97,8,4,3,1,1,Ilayaperumal Gopinathan,David Geary,David Geary,7,0,0,0,0,0,0,0
XD-1854,Story,51,Done,Add remote partitioning on 'jdbchdfs' job,Going forward it seems that providing Hadoop v1 will be of lesser importance and we might as well drop it now. SHDP 2.1 will also drop any v1 support.Remove support for:- hadoop12 - Apache Hadoop 1.2.1- cdh4 - Cloudera CDH 4.6.0- hdp13 - Hortonworks Data Platform 1.3Keep:- hadoop22 - Apache Hadoop 2.2.0 (default)- phd1 - Pivotal HD 1.1- phd20 - Pivotal HD 2.0- cdh5 - Cloudera CDH 5.0.0- hdp21 - Hortonworks Data Platform 2.1This should make configuration and documentation easier too. Not to mention testing.This affects startup scripts and the shell plus the build script.,5,4,2,1,0,Thomas Risberg,Thomas Risberg,Thomas Risberg,2,0,0,0,0,0,0,0
MESOS-9908,Improvement,554,Resolved,Add resource limits into the protobuf message `TaskInfo`,Currently docker volume is always mounted as root which is not accessible by non-root task users. users.non-root users to run as container user and docker volume needs to be supported for those non-root users. For security concerns there are use cases that operator may only allow ,5,3,2,1,0,Gilbert Song,Gilbert Song,Gilbert Song,2,0,0,0,0,0,0,0
XD-1833,Story,51,Done,Add ResourceModuleRegistry with custom modules location,The JMS Source/Sink has a pluggable provider (default {{activemq}}) but the URL property {{amqUrl}} implies activeMQ - the property name should be generic (found while testing XD-1149).,1,4,3,1,0,Glenn Renfro,Gary Russell,Gary Russell,3,0,0,0,0,0,0,0
XD-503,Bug,16,Done,Add REST endpoint for launching Job,Also if you deploy the Job it will fail but then you can't delete the job.,2,4,1,1,0,Glenn Renfro,Glenn Renfro,Glenn Renfro,0,0,0,0,0,0,0,0
XD-2873,Bug,83,Done,Add REST support for spring-cloud-data,"XD Version Spring XD 1.1.1.Release1 Admin on own (on-metal) Rackspace machine2 Containers each having own (on-metal) rackspace machine1 zookeeper node collocated with adminWhile executing XD performance testing on Rackspace using Kafka as a transport we occasionally get the following exception:{noformat}2015-03-26 18:36:30677 1.1.1.RELEASE  INFO DeploymentsPathChildrenCache-0 server.DeploymentListener - Path cache event: path=/deployments/modules/allocated/4c3c9ccf-44db-4772-87c2-70c63b82c3aa/foo3.sink.throughput.1 type=CHILD_ADDED2015-03-26 18:36:30685 1.1.1.RELEASE  INFO DeploymentsPathChildrenCache-0 server.DeploymentListener - Deploying module 'throughput' for stream 'foo3'2015-03-26 18:36:30820 1.1.1.RELEASE  INFO DeploymentsPathChildrenCache-0 server.DeploymentListener - Deploying module [ModuleDescriptor@19f0b0a6 moduleName = 'throughput' moduleLabel = 'throughput' group = 'foo3' sourceChannelName = [null] sinkChannelName = [null] index = 1 type = sink parameters = map[[empty]] children = list[[empty]]]2015-03-26 18:36:31372 1.1.1.RELEASE ERROR DeploymentsPathChildrenCache-0 server.DeploymentListener - Exception deploying moduleorg.springframework.integration.kafka.core.TopicNotFoundException: No topic named 'foo3.0' foundat org.springframework.integration.kafka.core.DefaultConnectionFactory.getPartitions(DefaultConnectionFactory.java:209)at org.springframework.xd.dirt.integration.kafka.KafkaMessageBus.createKafkaConsumer(KafkaMessageBus.java:640)at org.springframework.xd.dirt.integration.kafka.KafkaMessageBus.bindConsumer(KafkaMessageBus.java:454)at org.springframework.xd.dirt.plugins.AbstractMessageBusBinderPlugin.bindMessageConsumer(AbstractMessageBusBinderPlugin.java:275)at org.springframework.xd.dirt.plugins.AbstractMessageBusBinderPlugin.bindConsumerAndProducers(AbstractMessageBusBinderPlugin.java:158)at org.springframework.xd.dirt.plugins.stream.StreamPlugin.postProcessModule(StreamPlugin.java:73)at org.springframework.xd.dirt.module.ModuleDeployer.postProcessModule(ModuleDeployer.java:238)at org.springframework.xd.dirt.module.ModuleDeployer.doDeploy(ModuleDeployer.java:218)at org.springframework.xd.dirt.module.ModuleDeployer.deploy(ModuleDeployer.java:200)at org.springframework.xd.dirt.server.DeploymentListener.deployModule(DeploymentListener.java:363)at org.springframework.xd.dirt.server.DeploymentListener.deployStreamModule(DeploymentListener.java:332)at org.springframework.xd.dirt.server.DeploymentListener.onChildAdded(DeploymentListener.java:179)at org.springframework.xd.dirt.server.DeploymentListener.childEvent(DeploymentListener.java:147)at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:509)at org.apache.curator.framework.recipes.cache.PathChildrenCache$5.apply(PathChildrenCache.java:503)at org.apache.curator.framework.listen.ListenerContainer$1.run(ListenerContainer.java:92)at com.google.common.util.concurrent.MoreExecutors$SameThreadExecutorService.execute(MoreExecutors.java:297)at org.apache.curator.framework.listen.ListenerContainer.forEach(ListenerContainer.java:83)at org.apache.curator.framework.recipes.cache.PathChildrenCache.callListeners(PathChildrenCache.java:500)at org.apache.curator.framework.recipes.cache.EventOperation.invoke(EventOperation.java:35)at org.apache.curator.framework.recipes.cache.PathChildrenCache$10.run(PathChildrenCache.java:762)at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)at java.util.concurrent.FutureTask.run(FutureTask.java:262)at java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:471)at java.util.concurrent.FutureTask.run(FutureTask.java:262)at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145)at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615)at java.lang.Thread.run(Thread.java:745){noformat}stream used to create the exception:stream create foo4 --definition ""load-generator --messageSize=1000 --messageCount=10000000 | throughput"" --deployAfter failed deployment.  I destroy the stream and recreate it and it works fine.",3,2,4,1,1,Marius Bogoevici,Glenn Renfro,Glenn Renfro,3,1,1,0,0,0,0,0
XD-3164,Story,86,Done,Add RxJava processor module,As a developer I want to be able to override Kafka bus defaults for module consumers and producers so that I can finely tune performance and behaviour. Such properties should include- autoCommitEnabledqueueSizemaxWaitfetchSize for consumers- batchSizebatchTimeout for producers,3,4,1,0,0,Marius Bogoevici,Marius Bogoevici,Marius Bogoevici,0,0,0,0,0,0,0,0
XD-2383,Technical task,68,Done,Add scala support for spark streaming module,As a user I'd like to have a Shell command so that I can point to the custom-built _module_ archive and push it to the runtime for immediate usage. ,3,4,2,1,0,Eric Bottard,Sabby Anandan,Sabby Anandan,1,0,0,0,0,0,0,0
XD-1300,Story,35,Done,Add section to documentation that shows command line options available for each server,"There are few boolean type module option properties whose default values are specified in the module definitions than their corresponding ModuleOptionsMetaData. Also when using boolean we need to have module option using primitive type boolean than Boolean type.Currently these are some of the module options that require this change:""initializeDatabase"" in modules filejdbc hdfsjdbc job modules aggregator processor module jdbc sink module""restartable"" in all the job modules""deleteFiles"" in filejdbc filepollhdfs job modules",3,4,1,1,0,Luke Taylor,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,0,0,0,0,0,0,0,0
XD-1816,Story,51,Done,Add SFTP source,Generate asciidoc fragments for each module's options this way it is always up to date.,3,4,1,1,0,Eric Bottard,Eric Bottard,Eric Bottard,1,0,0,0,0,0,0,0
XD-3322,Story,90,Done,Add SFTP source to default registry,As a s-c-s developer I'd like to setup CI infrastructure for {{spring-cloud-stream-modules}} (s-c-s-m) repo so I can build the project continuously on every commits.,3,4,2,1,0,Mark Pollack,Sabby Anandan,Sabby Anandan,1,0,0,0,0,0,0,0
XD-2630,Story,85,Done,Add shell as a rest client to the spring-cloud-data REST API,As a developer I'd like to use Ambari plugin so that I can provision manage and monitor Spring XD cluster using the same tool I use for Hadoop clusters.,5,3,2,1,0,Janne Valkealahti,Sabby Anandan,Sabby Anandan,0,1,0,0,0,0,0,0
XD-3491,Story,96,Done,Add ShiroAopModule shiro AOP @RequiresPermissions annotations,null,3,4,1,1,0,Thomas Risberg,Sabby Anandan,Sabby Anandan,0,0,0,0,0,0,0,0
XD-1430,Story,45,Done,Add single threaded executor service to DeploymentSupervisor,null,5,4,2,1,0,Glenn Renfro,Glenn Renfro,Glenn Renfro,2,0,1,0,0,0,0,0
XD-404,Story,15,Done,Add SingleNodeMain class ,"The documentation in the Running in Distributed Mode chapter should discuss that the distributed runtime can use essentially any middleware to communicate between nodes.  This functionality is provided by the core ChannelRegistry abstraction.  A new intro paragraph shoul convey that it isn't a 'redis' only or 'rabbitmq' only system.There should be ""Installing RabbitMQ"" and ""Starting RabbitMQ"" sections to match those for Redis.""Starting Spring XD in Distributed Mode"" should cover how to configure the system to select to use Redis or Rabbit.",3,4,1,1,0,Eric Bottard,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-2341,Story,70,Done,Add Smart Grid demo to XD samples repo,"Using single-node deployment of Spring XD 1.0 GA we needed to redefine several batch jobs. We deleted the jobs (""job destroy all""). When attempting to re-add we received an error that a job with the name already exists. Performing ""job list"" confirms the jobs were gone.To workaround I needed to terminate the instance (server) of Spring XD and restart it. Since this was the single-node deployment without a live stream of data coming in this was okay but would have been a major problem if bouncing the Spring XD server was not acceptable (i.e. live data being actively received).",5,4,3,2,1,Ilayaperumal Gopinathan,Allan Baril,Allan Baril,4,0,0,0,0,0,0,0
XD-3113,Story,85,Done,Add SmartLifecycle to ChannelBindingAdapter,https://sonar.spring.io/drilldown/issues/org.springframework.xd:spring-xd?severity=CRITICAL,3,4,1,1,0,Gary Russell,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-1200,Story,29,Done,Add some test coverage to mqtt modules,"hdfsjdbc throws an exception:{code}org.springframework.beans.factory.BeanDefinitionStoreException: Invalid bean definition with name 'itemReader' defined in URL [file:/Users/trisberg/Projects/spring-xd/build/dist/spring-xd/xd/modules/job/hdfsjdbc/config/hdfsjdbc.xml]: Could not resolve placeholder 'columns' in string value ""${columns}""{code}The hdfsjdbc job uses 'columns' instead of 'names' as the parameter for the column-names. Should we make this usage consistent between jobs?There is a comment in the docs - ""there is also a limitation in that the database table must be created manually. This is due to a bug in Spring Hadoop and will be fixed in the future."" Think this is this solved in Spring Hadoop now?initializeDatabase should default to false now to be consistent with jdbc sinkRename batch-jdbc/mongo-import.properties to batch-jdbc/mongo.properties since these aren't just for import",5,4,1,1,0,Thomas Risberg,Thomas Risberg,Thomas Risberg,0,0,0,0,0,0,0,0
MESOS-8192,Task,354,Resolved,Add 'source' field to scheduler reservation API,The scheduler client/library should be updated to add support for API calls following the request/response model e.g. {{ReconcileOfferOperations}}.,5,3,1,1,0,Gast├│n Kleiman,Gast├│n Kleiman,Gast├│n Kleiman,2,0,1,0,0,0,0,0
XD-8,Story,1,Done,add SpEL 'filter' processor,Have a syslog.xml config file that can be added to a module and registered with a module registry.,1,4,2,1,0,Gary Russell,Mark Pollack,Mark Pollack,0,0,1,0,0,1,1,1
XD-782,Story,20,Done,Add Spring Retry to Rabbit Message Bus,null,3,4,1,1,0,Eric Bottard,Eric Bottard,Eric Bottard,0,0,0,0,0,0,0,0
XD-168,Story,8,Done,Add Spring/Integration MBean Exporters to Module ApplicationContexts,null,4,4,1,1,0,Gunnar Hillert,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-24,Story,1,Done,add spring-integration-groovy to container dependencies,Initial simple handcoded implementation for straight through pipe and filter model e.g. a | b | c,2,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-317,Story,11,Done,Add spring-xd-hadoop distro specific sub-projects,null,4,4,1,1,0,Gunnar Hillert,Gunnar Hillert,Gunnar Hillert,0,0,0,0,0,0,0,0
XD-1998,Story,57,Done,Add spring-xd-python to the distribution,The jars jersey-test-framework-core-1.9.jar jersey-test-framework-grizzly2-1.9.jarare incorrectly classified as compile time deps in hadoop vs. testCompile.,1,4,2,1,0,Eric Bottard,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-2544,Story,77,Done,Add SSL properties to the Mail source,Create a load-generator source module that  will generate messages and dispatch messages to a XD stream.  ,5,4,1,1,1,Glenn Renfro,Glenn Renfro,Glenn Renfro,0,0,0,0,0,0,0,0
XD-945,Story,24,Done,Add starting of newly build XD server running of smoketest bash script and killing of XD server to CI test,See Epic https://jira.springsource.org/browse/XD-234,10,4,2,1,0,Thomas Risberg,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-2286,Story,66,Done,Add starting offset support for Kafka source,Similar to {{time | log}} we should ship a simple batch job that appends a timestamp to a file. This will make it much easier to validate job functionality especially in automated tests.,2,4,1,1,0,Patrick Peralta,Patrick Peralta,Patrick Peralta,0,0,1,0,0,1,1,0
XD-398,Story,13,Done,Add status column for 'stream list'  shell command result,See http://static.springsource.org/spring-xd/docs/1.0.0.M1/reference/html/#getting-started,1,4,1,1,0,Luke Taylor,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-1825,Improvement,57,Done,Add stress test,null,5,4,2,1,0,Patrick Peralta,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-3109,Bug,85,Done,"Add support for ""deployment properties""",Having the follow messages poping up on xd log. It seems they are being generated indefinitely. Log files getting huge. [2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: ssh-rsassh-dss[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: aes256-ctraes192-ctraes128-ctrarcfour256[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: aes256-ctraes192-ctraes128-ctrarcfour256[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: hmac-sha2-512hmac-sha2-256hmac-sha1hmac-ripemd160[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: hmac-sha2-512hmac-sha2-256hmac-sha1hmac-ripemd160[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: nonezlib@openssh.com[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server: nonezlib@openssh.com[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server:[2015-05-27 15:57:51.039] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server:[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: diffie-hellman-group1-sha1diffie-hellman-group-exchange-sha1[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: ssh-rsassh-dss[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: aes128-ctraes128-cbc3des-ctr3des-cbcblowfish-cbc[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: aes128-ctraes128-cbc3des-ctr3des-cbcblowfish-cbc[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: hmac-md5hmac-sha1hmac-sha2-256hmac-sha1-96hmac-md5-96[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: hmac-md5hmac-sha1hmac-sha2-256hmac-sha1-96hmac-md5-96[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: none[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client: none[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client:[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client:[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: server->client aes128-ctr hmac-sha1 none[2015-05-27 15:57:51.040] boot - 2774  INFO [task-scheduler-1] --- jsch: kex: client->server aes128-ctr hmac-sha1 none[2015-05-27 15:57:51.044] boot - 2774  INFO [task-scheduler-1] --- jsch: SSH_MSG_KEXDH_INIT sent[2015-05-27 15:57:51.044] boot - 2774  INFO [task-scheduler-1] --- jsch: expecting SSH_MSG_KEXDH_REPLY[2015-05-27 15:57:51.049] boot - 2774  INFO [task-scheduler-1] --- jsch: ssh_rsa_verify: signature true[2015-05-27 15:57:51.049] boot - 2774  INFO [task-scheduler-1] --- jsch: Host 'XX.XXX.XX.X' is known and mathces the RSA host key[2015-05-27 15:57:51.049] boot - 2774  INFO [task-scheduler-1] --- jsch: SSH_MSG_NEWKEYS sent[2015-05-27 15:57:51.049] boot - 2774  INFO [task-scheduler-1] --- jsch: SSH_MSG_NEWKEYS received[2015-05-27 15:57:51.050] boot - 2774  INFO [task-scheduler-1] --- jsch: SSH_MSG_SERVICE_REQUEST sent[2015-05-27 15:57:51.050] boot - 2774  INFO [task-scheduler-1] --- jsch: SSH_MSG_SERVICE_ACCEPT received[2015-05-27 15:57:51.052] boot - 2774  INFO [task-scheduler-1] --- jsch: Authentications that can continue: gssapi-with-micpublickeykeyboard-interactivepassword[2015-05-27 15:57:51.052] boot - 2774  INFO [task-scheduler-1] --- jsch: Next authentication method: gssapi-with-mic[2015-05-27 15:57:51.054] boot - 2774  INFO [task-scheduler-1] --- jsch: Authentications that can continue: publickeykeyboard-interactivepassword[2015-05-27 15:57:51.054] boot - 2774  INFO [task-scheduler-1] --- jsch: Next authentication method: publickey[2015-05-27 15:57:51.086] boot - 2774  INFO [task-scheduler-1] --- jsch: Authentication succeeded (publickey).[2015-05-27 15:57:51.113] boot - 2774  INFO [task-scheduler-1] --- jsch: Disconnecting from 10.100.103.5 port 22[2015-05-27 15:57:51.113] boot - 2774  INFO [Connect thread XX.XXX.XXX.X session] --- jsch: Caught an exception leaving main loop due to Socket closed,2,4,2,0,1,Gary Russell,Carlos Queiroz,Carlos Queiroz,4,0,0,0,0,0,0,0
XD-1733,Story,47,Done,Add Support for addresses Property on RabbitMQ Source,We don't support using @Configuration for modules ATM.  The current code was committed during the same time as improvements to handling module configuration.  We should switch the reactor-ip.xml to include all bean definitions and remove referencing @Configuration classes or see how to add support for @Configuration.  Another short term hack is to put the prefix 'sink.reactor-ip' in all @Value used in NetServerInboundChannelAdapterConfiguration.,3,3,2,1,0,Eric Bottard,Mark Pollack,Mark Pollack,8,0,0,0,0,0,0,0
XD-2564,Improvement,72,Done,Add support for admin-ui and Flo integration ,Currently yarn runtime needs two yarn appmaster instances(one for admins one for containers). SHDP's container grouping added functionality to run different type of containers within a same appmaster.Beyond this container grouping will also give more functionality like ramping containers up/down on-demand creating groups with different settings dynamically and restarting failed containers.,2,4,2,1,1,Thomas Risberg,Janne Valkealahti,Janne Valkealahti,4,0,2,0,0,1,1,0
XD-373,Story,11,Done,Add Support for Binary Payloads in RedisQueueOutboundChannelAdapter,To store it's definition and optionally deploy with --autostart flag,1,4,2,1,0,Ilayaperumal Gopinathan,David Turanski,David Turanski,1,0,1,0,0,0,0,0
XD-1541,Bug,43,Done,Add Support for Bold/Strong Fonts ,Deployed the batch basic as instructions prescribe.Tests work for both singlenode and redis as a data transport.  However while the job does deploy using rabbit  it does not launch.,3,2,1,1,0,Glenn Renfro,Glenn Renfro,Glenn Renfro,1,0,0,0,0,0,0,0
XD-1824,Story,51,Done,Add support for configurable ZK namespace,Support receiving messages from an HA cluster.,1,4,2,1,0,Gary Russell,Gary Russell,Gary Russell,1,0,0,0,0,0,0,0
XD-182,Story,8,Done,Add support for creating a spring batch job that has an embedded trigger expression,The redis specific beans that are defined in the current launcher.xml should move into this configuration file.   ,3,4,1,1,0,David Turanski,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-294,Story,9,Done,Add support for creating a spring batch job that references a named trigger,null,1,4,2,1,0,Gary Russell,Gary Russell,Gary Russell,1,0,0,0,0,0,0,0
XD-176,Story,9,Done,Add support for creating fixed delay/ fixed rate triggers,"This could easily be supported in the existing gauge by adding a setAlpha method to RichGaugeService and adding the extra parameter ""alpha"" to the gauge data (https://en.wikipedia.org/wiki/Exponential_moving_average). If not set it would default to the current behaviour (simple mean) otherwise it would calculate the exponential moving average in place of the mean.",2,4,0,1,0,Luke Taylor,Luke Taylor,Luke Taylor,0,0,0,0,0,0,0,0
XD-180,Story,8,Done,Add support for creating named cron triggers,The name 'pipeProtocol' is tentative.  1. The command line scripts for xd-admin and xd-container would support a --pipeProtocol option with the default being to use Redis.  (Otherwise use xd-singlenode).2. The xd-admin and xd-container scripts will use the value of pipeProtocol to set the java system property xd.pipeProtocol when launching the app.,1,4,2,1,0,David Turanski,Mark Pollack,Mark Pollack,1,0,0,0,0,0,0,0
XD-3341,Story,92,Done,Add support for custom headers with the Kafka bus,As a s-c-d developer I'd like to publish the s-c-d image to DockerHub so I can incrementally push the latest commits to the remote location.,1,4,2,1,0,Mark Fisher,Sabby Anandan,Sabby Anandan,1,0,0,0,0,0,0,0
XD-3016,Story,86,Done,Add support for deploying YARN app into HDFS,For example how to specify the partition count for topics that are created by the message bus.,1,4,1,1,1,Marius Bogoevici,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-526,Story,16,Done,Add support for dynamic routing,Currently living at the root of the project those files don't benefit from IDE SI awareness.Make it so that they belong to a java project which sees the correct version of the SI jars used.Has impact on the build.gradle file,5,4,2,1,0,Mark Fisher,Eric Bottard,Eric Bottard,2,0,0,0,0,0,0,0
XD-2591,Story,72,Done,Add support for explicit partition count configuration for Kafka bus,null,1,4,1,1,0,Gary Russell,Gary Russell,Gary Russell,0,0,0,0,0,0,0,0
XD-3313,Story,90,Done,"Add support for global ""options"" in DSL",As a spring-cloud-data developer I'd like to use an in-memory stream definition repository so I don't have to spin up a store; obviously this will not persist between application executions but it will be useful for a simplified development experience.,5,4,2,1,0,Patrick Peralta,Sabby Anandan,Sabby Anandan,1,0,0,0,0,0,0,0
XD-991,Improvement,29,Done,Add support for Hortonworks Data Platform 2.0,Need to support writing text in compressed formatshould initially support: - bzip2 - LZO,8,4,2,1,0,Janne Valkealahti,Thomas Risberg,Thomas Risberg,1,0,2,0,0,2,2,0
XD-3266,Bug,90,Done,Add support for 'module info' to list module properties,After successfully deploying 12 jobs the Jobs / Deployments page still shows only 10 results.It looks like {{http://localhost:9393/jobs/configurations.json?page=0&size=10}} always returns {{content.page.totalPages}} of 1 regardless of the {{size}} parameter.,2,4,2,2,1,Gunnar Hillert,Karol Dowbecki,Karol Dowbecki,2,0,0,0,0,0,0,0
XD-2719,Story,77,Done,Add support for multiple topics in Kafka source,As a user I'd like to clean-up stale queues/topics associated with the stream so when the stream gets destroyed I can clean-up resources. ,3,4,1,1,0,Gary Russell,Sabby Anandan,Sabby Anandan,0,0,4,0,0,0,0,0
XD-3218,Improvement,88,Done,Add support for named channels,The admin leader election fails when the stream/job module definitions doesn't exist in `module-registry` but still some of the references still exist in ZK (via some of the previous deployments that had this module in module registry). Though this is expected this behavior will make *all* the subsequent deployments in *deploying* state because the admin leader isn't elected.,1,4,1,2,0,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,Ilayaperumal Gopinathan,1,0,0,0,0,0,0,0
XD-3114,Story,86,Done,Add support for passing parameters to YARN container,null,2,4,1,1,0,Mark Pollack,Mark Pollack,Mark Pollack,3,0,0,0,0,0,0,0
XD-1930,Improvement,57,Done,Add support for PHD 2.1 (XD 1.1 M1 Release),The following warning appears when compiling with JDK 8:{panel}/Users/pperalta/src/github/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/SingleNodeApplication.java:67: warning: auxiliary class ContainerConfiguration in /Users/pperalta/src/github/spring-xd/spring-xd-dirt/src/main/java/org/springframework/xd/dirt/server/ContainerServerApplication.java should not be accessed from outside its own source file.child(ContainerConfiguration.class)}}{panel}Can this be turned into a static inner class?,1,5,2,1,0,Eric Bottard,Patrick Peralta,Patrick Peralta,1,0,0,0,0,0,0,0
XD-2523,Story,72,Done,Add support for PHD 3.0 ,As a user I'd like to have a gradle build option so that I can support module projects that will declare the Spring XD dependencies as provided configure the boot plugin for 'MODULE' layout and other boilerplate build configuration.This is dependent on Boot's module layout scoping issue: https://github.com/spring-projects/spring-boot/issues/2187,3,4,1,1,0,David Turanski,Sabby Anandan,Sabby Anandan,0,0,0,0,0,0,0,0
XD-1749,Story,57,Done,Add support for Pivotal HD 2.1 (XD 1.0.2 Release),We have 13 skipped tests now...,8,4,2,1,0,Mark Fisher,Mark Pollack,Mark Pollack,3,0,0,0,0,0,0,0
XD-3030,Bug,83,Done,Add support for Receptor SPI to query module status,As part of p-spring-xd testing we create deploy exercise undeploy and destroy a RabbitMQ to RabbitMQ stream every minute. Spring XD does not appear to be deleting the queues it creates internally for each stream. We have seen as many as ~9800 xdbus queues (via the RabbitMQ web ui) before RabbitMQ runs out of memory and blocks.,5,2,2,1,0,Gary Russell,Paul Harris,Paul Harris,3,1,3,0,0,0,0,0
XD-2090,Story,68,Done,Add support for Sentinel in Redis Sink,As a user I'd like to have guidance to create custom modules so that I can align the development practices with recommended approach. 11/20: Update: Scope of this task is to create an example to demonstrate and document the capability.,1,4,4,1,0,David Turanski,Sabby Anandan,Sabby Anandan,4,0,9,0,0,0,0,0
XD-2834,Story,90,Done,Add support for tab completion in shell,"Following the recent move of the doco to the main repo it makes sense to have the doc generation be part of the ""main"" build at an early stage as an incentive for developers to push doc changes as soon as they change the code.",2,4,2,2,0,Mark Pollack,Eric Bottard,Eric Bottard,4,0,1,0,0,0,0,0
XD-2416,Bug,72,Done,Add support for time/sequence-size windowed offset updates,"I can only reproduce this when using single quotes around the expression:{code}stream create test --definition ""http | transform --expression='payload.replace(\""abc\"" \""\"")' | log"" --deploy true{code}The following two alternatives work fine though:{code}# Using trim on a single spacestream create test --definition ""http | transform --expression='payload.replace(\""abc\"" \"" \"".trim())' | log"" --deploy true# Not using single quotes or spaces in the expressionstream create test --definition ""http | transform --expression=payload.replace(\""abc\""\""\"") | log"" --deploy true{code}",1,4,2,1,1,Eric Bottard,Dennis Hunziker,Dennis Hunziker,4,0,0,0,0,0,0,0
XD-3238,Story,88,Done,Add support for Tuple and JSON SpEL property accessors in spring-cloud-stream,As a developer I'd like to complete the remaining Kryo optimization changes so I can polish and get the guidelines documented appropriately. ,1,4,1,2,0,David Turanski,Sabby Anandan,Sabby Anandan,0,0,0,0,0,0,0,0
XD-1501,Improvement,45,Done,Add support for typed Batch Steps,"Invoking {{Paths.ensurePath}} is creating a default value of the host IP address instead of the expected ""empty"" value. ",1,4,2,1,1,Ilayaperumal Gopinathan,Patrick Peralta,Patrick Peralta,1,0,0,0,0,0,0,0
