TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
4369,Update frmSiPAutoCorrection to work with new USM structure,3,13,42,42,RELEASED,PC2,PBC21,Development,Bug,14,20.5,42,20.5,-6.5,-6.5
4370,Disable USM Splitting for Treaty Transactions,2,26,42,42,RELEASED,PC2,PBC21,Development,Enhancement,1,1,42,1,0,0
4372,Update XLsior Proportional Export for v.1.10,1,26,26,NA,RELEASED,PC2,PBC21,Development,Enhancement,4,3.5,26,3.5,0.5,0.5
4375,Cannot Add Relation messages keep appearing in SCMS v1.10,5,65,65,13,FINISHED,PC2,PBC21,Development,Bug,4,1.5,65,1.5,2.5,2.5
4376,Risks with multiple sections not saving in SCMS v1.10,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,4,16.25,65,16.25,-12.25,-12.25
4380,XXXX USM TTY Transaction -- Line Nett Amount  = 0 Update.,3,13,13,NA,FINISHED,PC2,PBC73,Development,Enhancement,1,1,13,1,0,0
4383,SQL Comparator Not working Properly,5,65,58,NA,FINISHED,PC8,PBC40,Development,Bug,1,2,58,1,-1,0
4383,SQL Comparator Not working Properly,5,65,58,NA,FINISHED,PC8,PBC40,Development,Bug,1,2,65,1,-1,NA
4384,Reviewed Progress on Binder Management to Date,1,58,58,NA,FINISHED,PC2,PBC32,Development,Enhancement,1.5,3,58,1.5,-1.5,0
4384,Reviewed Progress on Binder Management to Date,1,58,58,NA,FINISHED,PC2,PBC32,Development,Enhancement,1.5,3,65,1.5,-1.5,NA
4386,When Status Bar Says Fetching.. The Pointer Should Change To HourGlass,2,13,42,42,RELEASED,PC2,PBC21,Development,Enhancement,2.5,2.6,13,0.1,-0.1,NA
4386,When Status Bar Says Fetching.. The Pointer Should Change To HourGlass,2,13,42,42,RELEASED,PC2,PBC21,Development,Enhancement,2.5,2.6,42,2.5,-0.1,0
4387,Event Search Form - Linked SCM grid.,5,1,13,NA,FINISHED,PC2,PBC21,Development,Bug,2,5,13,5,-3,-3
4389,Post Task System Release Issues,5,65,65,58,FINISHED,PC11,PBC65,Development,Bug,2,0.5,65,0.5,1.5,1.5
4390,USM Search on Business Category not working in SCMS 1.10,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,2,2.5,65,2.5,-0.5,-0.5
4391,Testing Porting Technical Core and SCMS to .NET 2005,5,65,65,58,FINISHED,PC9,PBC11,Development,Testing,7,7.5,65,7.5,-0.5,-0.5
4392,Create script to populate USM_MessageDetail table.,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,21,8.5,22,8.5,12.5,12.5
4393,Run comparator/SCMS over converted XXXX db--archive off scripts once sync,1,13,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,5,20,13,20,-15,-15
4395,Autocorrection box to appear and work with SCM Line,5,13,42,42,RELEASED,PC2,PBC21,Development,Bug,2.5,2.5,42,2.5,0,0
4396,Reports still loading from Internet Explorer's cache,1,1,26,58,RELEASED,PC9,PBC3,Development,Bug,1,1,26,1,0,0
4397,Adding new event on SCM with no events points to total instead of new event,2,13,42,42,FINISHED,PC2,PBC21,Development,Bug,2.5,8,42,8,-5.5,-5.5
4400,Miscellaneous Tasks for November,10,22,22,NA,FINISHED,PC2,PBC21,Development,Enhancement,30,1.1,22,1.1,28.9,28.9
4401,Testing Latest Bug Fixes With Latest Code,1,13,13,NA,FINISHED,PC2,PBC21,Development,Testing,1,1,13,1,0,0
4403,Task reports timing out with an exception,2,43,26,58,FINISHED,PC9,PBC3,Development,Bug,7,4,26,4,3,3
4405,Fixing problem with lack of space preventing queries,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Bug,1,1,22,1,0,0
4406,Add LossDateFrom to view in SCM Split table.,4,13,42,42,RELEASED,PC2,PBC21,Development,Enhancement,1,1,42,1,0,0
4407,XXXX Correcting data not represented properly brought over from old reflection system,1,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,35,83.5,13,3.5,-48.5,NA
4407,XXXX Correcting data not represented properly brought over from old reflection system,1,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,35,83.5,24,80,-48.5,-45
4409,Build XXXX Live Warehouse/Setup Daily Warehouse Build Job,1,13,13,NA,FINISHED,PC2,PBC73,Development,Release,5,8.5,13,8.5,-3.5,-3.5
4411,Error Message appearing on opening certain USM's,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,2,2,65,2,0,0
4412,"Reference Data ""Ref UW Corrections"" not working",3,42,42,42,RELEASED,PC2,PBC21,Development,Bug,1,0.75,42,0.75,0.25,0.25
4413,Aiding YYY ZZZ Matching Eurobase With SCMS-- Risk Column Links Queries,2,13,13,NA,FINISHED,PC17,PBC72,Development,Enhancement,0.5,0.5,13,0.5,0,0
4416,Problem With Adding Node in Knowledge Base,5,65,65,58,FINISHED,PC11,PBC5,Development,Bug,0.5,0.5,65,0.5,0,0
4417,Investigate why data in TEMP USM_Transaction does not match RAW data,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Bug,4,2.2,22,2.2,1.8,1.8
4418,"Reloading USM after entering SuperUser brings up exception, also deleting DairyEvent",6,42,42,42,RELEASED,PC2,PBC21,Development,Bug,7,4.3,42,4.3,2.7,2.7
4420,New SiP.LicenceChecker dll Test And Checkin,1,13,13,NA,FINISHED,PC2,PBC21,Development,Testing,0.5,0.5,13,0.5,0,0
4421,'AddLineCalculation: Cannot find relation 0' messages keep appearing in SCMS,5,65,65,13,FINISHED,PC2,PBC21,Development,Bug,2,5,65,5,-3,-3
4422,Update XXXX 1.9 Warehouse with recent changes,1,13,26,NA,FINISHED,PC2,PBC53,Development,Enhancement,3,3,26,3,0,0
4423,SQL Error during XLSIOR export,5,1,1,13,FINISHED,PC2,PBC10,Development,Bug,1,0.5,1,0.5,0.5,0.5
4424,USM Save - SP_USM_SAVE_TREATYSECTION not working,4,42,42,42,RELEASED,PC2,PBC21,Development,Bug,3,4.5,42,4.5,-1.5,-1.5
4425,XXXX SCM Validation Failing To Remove Duplicate Line,1,13,26,NA,FINISHED,PC2,PBC75,Development,Bug,3,7,26,3.5,-4,-0.5
4425,XXXX SCM Validation Failing To Remove Duplicate Line,1,13,26,NA,FINISHED,PC2,PBC75,Development,Bug,3,7,13,3.5,-4,NA
4428,Make data in test USM table unique,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Bug,14,11.3,22,11.3,2.7,2.7
4432,USM Search fields are repeated (Line Statistics),3,42,42,42,RELEASED,PC2,PBC21,Development,Bug,2,3,42,3,-1,-1
4433,RISK Supersearch throws an exception,5,7,1,6,RELEASED,PC2,PBC21,Development,Bug,2,1,1,1,1,1
4434,"When entering a new USM, make Treaty Tab visible for LPSO Cat 0",5,42,42,42,RELEASED,PC2,PBC21,Development,Bug,7,3.5,42,3.5,3.5,3.5
4435,Exception during RISK supersearch,4,7,1,6,RELEASED,PC2,PBC75,Development,Bug,1,2,1,2,-1,-1
4436,Move UWRCorrection Field Access out of REF_META_FieldAccess,6,42,42,42,RELEASED,PC2,PBC21,Development,Enhancement,2,1.7,42,1.7,0.3,0.3
4438,Test New XXXX Warehouse Test DB With Recent Changes ,2,13,13,NA,FINISHED,PC2,PBC53,Development,Enhancement,1,0.5,13,0.5,0.5,0.5
4439,Debug XXXX Test Warehouse,1,13,26,NA,FINISHED,PC2,PBC53,Development,Bug,7,5,26,5,2,2
4444,Risk Grid Paint Failing On Risk Row Deleted,1,58,58,NA,FINISHED,PC2,PBC32,Development,Bug,3,3.25,58,3.25,-0.25,-0.25
4445,"When switching between search and event tabs, grid becomes locked",7,42,42,42,RELEASED,PC2,PBC21,Development,Bug,2,1.5,42,1.5,0.5,0.5
4446,Exception thrown when trying to contra a contrad USM,5,65,65,42,FINISHED,PC2,PBC21,Development,Bug,1,1,65,1,0,0
4448,Populate Risk_Risk,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,8.7,22,8.7,5.3,5.3
4449,Searching a USM on statisitcal code fails,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,1,1,65,1,0,0
4452,Diary Events Needs Raised Date Column,5,65,65,13,FINISHED,PC2,PBC21,Development,Enhancement,5,9.5,65,9.5,-4.5,-4.5
4453,Fixing Column Name Problems,5,65,65,13,FINISHED,PC2,PBC21,Development,Bug,2,1,65,1,1,1
4455,"RI OS Synd, RI Ptd Synd Incorrectly Shown On Event Linked SCM Figures",1,29,13,NA,RELEASED,PC2,PBC21,Development,Bug,1,2,26,1,-1,NA
4455,"RI OS Synd, RI Ptd Synd Incorrectly Shown On Event Linked SCM Figures",1,29,13,NA,RELEASED,PC2,PBC21,Development,Bug,1,2,13,1,-1,0
4456,Check/fix XXXX figures book,1,13,26,NA,FINISHED,PC2,PBC21,Development,Bug,2,1,26,1,1,1
4458,Reference Data screen not clearing tables when switching between tables.,7,42,42,13,COMPLETED,PC9,PBC35,Development,Bug,3,2.5,42,2.5,0.5,0.5
4459,Remove SCMS Test Cases. Will Be Replaced With Unit Tests,2,58,42,42,FINISHED,PC2,PBC21,Development,Enhancement,5,5,42,5,0,0
4460,Put dividers and order search fields,3,26,42,42,RELEASED,PC2,PBC21,Development,Enhancement,4,2.7,42,2.7,1.3,1.3
4462,Catch all tasks,10,42,42,42,FINISHED,PC2,PBC21,Development,Testing,1,1,42,1,0,0
4463,Populate RISK_Section,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,12,22,12,2,2
4466,General .Net v2 Conversion Work,1,58,58,58,FINISHED,PC9,PBC7,Development,Enhancement,21,26.75,58,26.75,-5.75,-5.75
4470,XXXX SiP Message Load From Dev Server,1,13,26,NA,COMPLETED,PC2,PBC21,Development,Enhancement,14,17,13,3.5,-3,NA
4470,XXXX SiP Message Load From Dev Server,1,13,26,NA,COMPLETED,PC2,PBC21,Development,Enhancement,14,17,26,13.5,-3,0.5
4471,Populate RISK_SectionDeclaration,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,11.25,22,11.25,2.75,2.75
4472,Creating manual claim to handle an SCM with two settlement currencies in backend,4,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,1,1,24,1,0,0
4473,Fighting with Visual Studio with Assembly Manifest error and Releasing Core,6,42,42,58,COMPLETED,PC18,PBC64,Development,Release,2,4.5,42,4.5,-2.5,-2.5
4477,XXXX Warehouse too big with Accrual tables,2,13,26,NA,FINISHED,PC2,PBC53,Development,Enhancement,7,7,26,7,0,0
4478,Add YYY ZZZ and YYY ZZZ to website staff section,4,45,43,43,FINISHED,PC18,PBC20,Development,Enhancement,1.5,2,43,2,-0.5,-0.5
4480,Change CCC logo on all SCMS reports,1,1,1,13,FINISHED,PC2,PBC21,Development,Enhancement,5,5,1,5,0,0
4483,Miscellaneous Tasks for December,10,22,22,NA,FINISHED,PC11,PBC65,Development,Enhancement,30,2.25,22,2.25,27.75,27.75
4484,Adding Events to SCM's with Multiple lines brings up 3 validation errors.,5,42,42,42,RELEASED,PC2,PBC21,Development,Bug,7,11,42,11,-4,-4
4485,New CCC Logo -- Release On SCMS,1,13,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,1,2.5,13,2.5,-1.5,-1.5
4486,XXXX USM SiP Message Load Validation Run -- Compare Figures.,1,13,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,14,15.5,13,15.5,-1.5,-1.5
4487,Resolving SCMS issues in .NET2,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,5,2,65,2,3,3
4489,"Reflection SCM data inaccurate, resolving issues in SCMS",2,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,21,67.85,24,67.85,-46.85,-46.85
4491,XXXX New 1.9 Test Warehouse Build/Compare Figures With Live,1,13,13,NA,FINISHED,PC2,PBC53,Development,Enhancement,3,2.5,13,2.5,0.5,0.5
4494,LDEX Test On Dev Server,2,26,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,0.5,1,13,1,-0.5,-0.5
4495,Release SCMS Application To Live -- XXXX Synd,1,13,13,NA,FINISHED,PC2,PBC21,Development,Release,7,5,13,5,2,2
4496,Release SCMS Warehouse To Live -- XXXX Synd,1,13,13,NA,FINISHED,PC2,PBC21,Development,Release,7,11,13,11,-4,-4
4497,Backup Release Pre/Post Versions To Disk -- XXXX Synd,1,13,13,NA,FINISHED,PC2,PBC21,Development,Release,1,1,13,1,0,0
4500,Installing .Net v2,1,58,58,NA,FINISHED,PC2,PBC32,Development,Enhancement,7,10.5,58,10.5,-3.5,-3.5
4501,Alter stats control to handle XXXX format triangles properly,2,26,26,NA,FINISHED,PC2,PBC53,Development,Enhancement,7,0.5,26,0.5,6.5,6.5
4502,Alter stats control for new cumulative-based triangles,2,26,26,NA,FINISHED,PC2,PBC21,Development,Enhancement,7,7,26,7,0,0
4505,Populate RISK_SectionLimit,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,7.2,22,7.2,6.8,6.8
4507,Release Technical Core v 1.6.2166.28850,5,65,65,13,FINISHED,PC9,PBC15,Development,Release,0.5,1.5,13,0.75,-1,NA
4507,Release Technical Core v 1.6.2166.28850,5,65,65,13,FINISHED,PC9,PBC15,Development,Release,0.5,1.5,65,0.75,-1,-0.25
4509,"Moving Diary Event Changes to DEV, Core and SCMS",5,65,65,13,FINISHED,PC2,PBC21,Development,Enhancement,1,1.5,13,0.75,-0.5,NA
4509,"Moving Diary Event Changes to DEV, Core and SCMS",5,65,65,13,FINISHED,PC2,PBC21,Development,Enhancement,1,1.5,65,0.75,-0.5,0.25
4510,Summary field access not refreshed when removing all diary events,5,65,65,13,FINISHED,PC9,PBC11,Development,Bug,4,8,65,8,-4,-4
4513,Change Task System Search for YYY ZZZ,1,45,58,58,FINISHED,PC11,PBC65,Development,Enhancement,1,1.25,58,1.25,-0.25,-0.25
4514,Replacing SiP Data Grid with v2 Base Version which is better,1,58,58,58,FINISHED,PC9,PBC7,Development,Enhancement,21,56.2,58,56.2,-35.2,-35.2
4515,"USM signed Line column, can't enter neg numbers during Manual Entry.",7,7,42,42,RELEASED,PC2,PBC21,Development,Bug,3,2.5,42,2.5,0.5,0.5
4516,Populate Risk_Line,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,11,22,11,3,3
4517,Allow net amount entry on manual entry USMs as well as contra items - See Plan,3,7,65,13,FINISHED,PC2,PBC21,Development,Enhancement,1.5,1.75,65,1.75,-0.25,-0.25
4518,USM Split for XXXX Live not showing YOA,6,12,42,42,FINISHED,PC2,PBC73,Development,Enhancement,0.5,0.5,42,0.5,0,0
4522,Get XXXX Proportional Xlsior Export working,1,12,26,NA,FINISHED,PC2,PBC73,Development,Bug,1,0.5,26,0.5,0.5,0.5
4523,Update Risk_SectionLimit,2,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,2,1,22,1,1,1
4525,frmReport - descriptions not displaying correctly ,5,1,1,13,COMPLETED,PC9,PBC3,Development,Bug,1,1.5,1,1.5,-0.5,-0.5
4526,Debug all XXXX format triangles,2,13,26,NA,FINISHED,PC2,PBC53,Development,Bug,3,4,26,4,-1,-1
4527,SCM form doesn't open if not linked to a risk,1,29,13,NA,RELEASED,PC2,PBC21,Development,Bug,3,2,13,1,1,2
4527,SCM form doesn't open if not linked to a risk,1,29,13,NA,RELEASED,PC2,PBC21,Development,Bug,3,2,26,1,1,NA
4531,LORS Export should reference only the first layer section,1,13,26,NA,FINISHED,PC2,PBC21,Development,Bug,1,0.5,26,0.5,0.5,0.5
4534, broker order's XXXX,2,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,5,2,24,2,3,3
4535,Cannot correct incorrect UWref on SCM Line.,3,13,42,42,RELEASED,PC2,PBC21,Development,Bug,7,7,26,1.5,0,NA
4535,Cannot correct incorrect UWref on SCM Line.,3,13,42,42,RELEASED,PC2,PBC21,Development,Bug,7,7,42,5.5,0,1.5
4538,Allow validation of duplicate events when they are typed in,5,65,65,13,FINISHED,PC2,PBC21,Development,Enhancement,4,4.25,65,4.25,-0.25,-0.25
4539,Populate Risk_LinePremiumExposureHistory,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,2.7,22,2.7,11.3,11.3
4540,Populate Risk_LineCalculation ,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,45.52,22,44.52,-31.52,-30.52
4540,Populate Risk_LineCalculation ,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,14,45.52,13,1,-31.52,NA
4545,testing new functionality on SCM event splits system area,3,24,24,NA,RELEASED,PC2,PBC73,Development,Enhancement,4,4,24,2.5,0,1.5
4545,testing new functionality on SCM event splits system area,3,24,24,NA,RELEASED,PC2,PBC73,Development,Enhancement,4,4,13,1.5,0,NA
4546,Release Task 4535 (UW Ref Corr Bug) To Live DBs,1,29,13,NA,FINISHED,PC2,PBC21,Development,Bug,0.25,0.25,13,0.25,0,0
4553,Risk Policy -- Risk History Tab View USM/SCM Buttons Cause App To Die,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,2,1.25,42,1.25,0.75,0.75
4554,User Support -- XXXX Syndicate II Group/Type Super Search Fields Missing,1,16,13,NA,FINISHED,PC2,PBC53,Development,Bug,0.25,0.25,13,0.25,0,0
4555,Delete RI/Risk Causing Save Diary Event Error,2,13,42,NA,RELEASED,PC2,PBC21,Development,Bug,3.5,2.25,42,2.25,1.25,1.25
4556,Risk -- Action Super User -- Line RiskCode Lookup Not Correct,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,1.5,1.5,42,1.5,0,0
4557,Lack of space preventing queries.. again.,1,22,22,NA,FINISHED,PC17,PBC72,Development,Bug,1,2,22,2,-1,-1
4558,"Risk Screen - Risk History SP not getting Risk History data,",4,42,42,42,RELEASED,PC2,PBC21,Development,Bug,3.5,1.25,42,1.25,2.25,2.25
4559,Full v1.10 SCMS Testing,1,13,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,14,42.75,13,42.75,-28.75,-28.75
4560,USM Diary Event Save - Causing Exception Errors,2,13,65,13,FINISHED,PC2,PBC21,Development,Bug,4,4,65,4,0,0
4561,USM Treaty Tab-Treaty Balance Not Showing?Additional Cliam Details?,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,5,3.25,42,3.25,1.75,1.75
4562,USM Treaty Narrative Extra Column Space -- Need To Remove From Meta_Grid,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,1,0.5,42,0.5,0.5,0.5
4563,New Reference table reqd for FIL country code,5,1,27,NA,RELEASED,PC2,PBC21,Development,Enhancement,7,5,27,5,2,2
4564,Cannot add a new ROW in the Reference Data after a search,10,42,42,42,RELEASED,PC2,PBC21,Development,Enhancement,7,12.5,42,12.5,-5.5,-5.5
4565,Bring Warehouse into line with v.1.10,2,26,26,NA,FINISHED,PC2,PBC21,Development,Enhancement,14,18,26,18,-4,-4
4566,Synd XXXX -- Add Missing Broker Codes (from SCM/USM) To Ref_Broker Table,1,13,13,NA,FINISHED,PC2,PBC73,Development,Enhancement,0.5,0.5,13,0.5,0,0
4567,USM Treaty Transaction Manual Entry -- Validation Errors Remian On Signed Line pct,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,7,8.75,42,8.75,-1.75,-1.75
4568,Contra USM Linked To RI Causes Error -- Though Item Contra's OK,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,7,6.25,42,6.25,0.75,0.75
4569,Contra USM With Instalment/Treaty Causes Error - Primary Key Violation,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,5,4.5,42,4.5,0.5,0.5
4570,USM Add Diary Event Causes Error If User Not In RoleUsersUSM - See Plan,2,13,65,13,FINISHED,PC2,PBC21,Development,Bug,3,5,65,5,-2,-2
4571,USM Search Results Split USM Totals Not Displaying,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,2,1.5,42,1.5,0.5,0.5
4572,USM Split Delete Causes Error,2,13,65,13,FINISHED,PC2,PBC21,Development,Bug,1,1.25,65,1.25,-0.25,-0.25
4575,Sync XXXX Live Warehouse To Dev Warehouse,2,13,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,1,1,13,1,0,0
4577,USM Contra (New and Contrad) Transaction not showing LloydsProcessingDate,4,13,42,NA,RELEASED,PC2,PBC21,Development,Bug,4,2,42,2,2,2
4579,SCM Search -- Broker Name Search Field Error,2,13,13,NA,RELEASED,PC2,PBC21,Development,Bug,0.25,0.25,13,0.25,0,0
4582,SCM/USM Validation Process Messagebox Bug,2,13,65,13,FINISHED,PC2,PBC21,Development,Bug,2,4.25,65,4.25,-2.25,-2.25
4586,USM-Additional Signings/Claim  Details Child Table Links Need To Be Removed,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,0.5,0.5,42,0.5,0,0
4587,SCM Add Linked RI -- SP_SCM_Lookup_Linked_RI/Save Causes Errors,2,13,13,NA,RELEASED,PC2,PBC21,Development,Bug,1,1.5,13,1.5,-0.5,-0.5
4590,SP_RI_Validation_Errors Needs To Be  Updated With v1.10 New Col Names,2,13,13,NA,RELEASED,PC2,PBC21,Development,Bug,0.5,0.5,13,0.5,0,0
4591,Add A Split To Multiple Line Claims Does Not Save-- See Plan,2,13,42,13,RELEASED,PC2,PBC21,Development,Bug,2,2,42,2,0,0
4593,Setup/Test Role For Exchange Rates Update,2,13,13,NA,RELEASED,PC2,PBC21,Development,Bug,0.25,0.25,13,0.25,0,0
4594,Rework Triangulation Procedures for cumulative-based triangles,2,26,26,NA,FINISHED,PC2,PBC21,Development,Enhancement,14,22.5,26,22.5,-8.5,-8.5
4597,Period Close - USM - No Validation Errors Remaining Check Causes Exception,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,2,2,42,2,0,0
4598,Add declarations on carried-over risks into Risk_SectionDeclaration,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,2,1,22,1,1,1
4601,XXXX Warehouse Build Failed,1,13,13,NA,FINISHED,PC2,PBC53,Development,Bug,1,1,13,1,0,0
4603,Column Sorting Dialouge for Data Grid,5,65,65,58,FINISHED,PC9,PBC7,Development,Enhancement,12,14.5,65,14.5,-2.5,-2.5
4604,.NET 2 Binder Management Conversion,1,58,58,NA,FINISHED,PC2,PBC32,Development,Enhancement,35,70.65,58,70.65,-35.65,-35.65
4606,Add Limits for carried-over-risks to Risk_SectionLimit,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,1,1,22,1,0,0
4607,Populate Risk_Line with new SectionUniqueIDs,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,4,1.4,22,1.4,2.6,2.6
4608,Fixing Declarations which have been entered as risks,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Bug,21,6.6,22,6.6,14.4,14.4
4609,USM's not showing RI Summary after load up,5,42,42,42,RELEASED,PC2,PBC21,Development,Bug,2,1.75,42,1.75,0.25,0.25
4610,SCM -- Linked USM Grid Needs To Show Cash Column,2,24,13,NA,RELEASED,PC2,PBC21,Development,Enhancement,1.5,1.5,13,1.5,0,0
4613,Diary Event Bug -- See Plan,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,3,3,42,3,0,0
4616,XXXX LORS Extract To Include 12th Character Where It Exists From Orig_UWRef,1,45,26,NA,FINISHED,PC2,PBC53,Development,Enhancement,2,1,13,0.5,1,NA
4616,XXXX LORS Extract To Include 12th Character Where It Exists From Orig_UWRef,1,45,26,NA,FINISHED,PC2,PBC53,Development,Enhancement,2,1,26,0.5,1,1.5
4617,Replace PolicyRef with LayerRef in LORS export,2,26,26,NA,FINISHED,PC2,PBC21,Development,Enhancement,0.5,0.5,26,0.5,0,0
4619,Missing USM Line Columns Need Re-Adding,2,13,13,NA,FINISHED,PC2,PBC21,Development,Bug,0.5,1,13,1,-0.5,-0.5
4620,Cut down the XXXX events not netting properly in the allocation,1,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,49,79.75,24,79.75,-30.75,-30.75
4621,Split figures not correct when deleting a duplicate event,5,65,65,NA,FINISHED,PC2,PBC21,Development,Bug,7,9.5,65,9.5,-2.5,-2.5
4622,YYY ZZZ's Changes On XXXX Check,2,13,13,NA,FINISHED,PC2,PBC73,Development,Enhancement,1,1,13,1,0,0
4624,Reports Not Working -- See Plan,2,13,42,42,FINISHED,PC2,PBC21,Development,Bug,7,4,42,4,3,3
4625,Stats Menu Triangles,2,13,26,NA,FINISHED,PC2,PBC21,Development,Bug,17,28.5,26,28.5,-11.5,-11.5
4626,Stats Menu -- XLsior Export LORS/Proportional --SP Column Names,2,13,42,42,RELEASED,PC2,PBC21,Development,Bug,4,3.75,42,3.75,0.25,0.25
4627,Populate Risk_Name,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,7,7,22,7,0,0
4629,Hide LDEX Message Menu Item From Reference Menu For v1.10,2,13,42,42,FINISHED,PC2,PBC21,Development,Bug,0.5,0.5,42,0.5,0,0
4640,User Help: Added user to a role to add Events,2,29,42,42,FINISHED,PC2,PBC42,Development,Enhancement,0.5,0.5,42,0.5,0,0
4643,Adding Event error screen has spelling mistake,8,42,42,NA,FINISHED,PC2,PBC21,Development,Enhancement,0.5,0.5,42,0.5,0,0
4644,Cleaning up Task system tasks,10,42,42,58,COMPLETED,PC18,PBC33,Development,Testing,0.5,0.5,42,0.5,0,0
4654,Release Core to reflect current changes and for testing 1.10,5,13,42,13,COMPLETED,PC9,PBC11,Development,Release,0.5,0.5,42,0.5,0,0
4655,XXXX USM Validation Failure,1,13,13,NA,FINISHED,PC2,PBC53,Development,Bug,3,3.5,13,3.5,-0.5,-0.5
4658,Check/Aid SCM Split Work By YYY ZZZ,1,65,13,NA,FINISHED,PC2,PBC21,Development,Enhancement,1,1,13,1,0,0
4659,Populate SCM_Claim,1,22,22,NA,COMPLETED,PC17,PBC72,Development,Enhancement,21,29.6,22,29.6,-8.6,-8.6
4660,USM_ProcessMonth Now Holds Last Day Of Month-- Check Period Close,2,13,42,42,FINISHED,PC2,PBC21,Development,Bug,1.5,1.5,42,1.5,0,0
4661,SCMS 1.10 Testing,8,13,42,13,FINISHED,PC2,PBC21,Development,Testing,4.5,4.5,42,4.5,0,0
4664,Super Search Save Query Fails,2,13,42,NA,RELEASED,PC2,PBC21,Development,Bug,3.5,3,42,3,0.5,0.5
4665,Do Not Run User Specific Validations On Save or Load,1,65,58,58,FINISHED,PC9,PBC24,Development,Bug,3.5,2.5,65,1.5,1,NA
4665,Do Not Run User Specific Validations On Save or Load,1,65,58,58,FINISHED,PC9,PBC24,Development,Bug,3.5,2.5,58,1,1,2.5
4666,Review of .NET 2 Conversion and New Grid Enhancements,1,58,58,58,FINISHED,PC9,PBC7,Development,Enhancement,3,5,65,2,-2,NA
4666,Review of .NET 2 Conversion and New Grid Enhancements,1,58,58,58,FINISHED,PC9,PBC7,Development,Enhancement,3,5,58,3,-2,0
4667,Statistics - Figures Book search not working,6,42,42,42,RELEASED,PC2,PBC21,Development,Bug,5,4,42,4,1,1
4669,XXXX Claim Exception -- Aid YYY ZZZ With Investigating And Resolving Issue,1,24,13,NA,FINISHED,PC2,PBC73,Development,Bug,0.5,0.25,13,0.25,0.25,0.25
4670,XXXX Live Conversion To v1.10,1,13,13,NA,FINISHED,PC2,PBC42,Development,Enhancement,14,33,13,33,-19,-19
4671,Removal defunct syndicate XXXX scm lines from XXXX system data,3,24,24,NA,COMPLETED,PC17,PBC73,Development,Enhancement,3,1,24,1,2,2
4672,Adding Column Ordering into new grid,5,65,65,58,FINISHED,PC9,PBC7,Development,Enhancement,5,11.5,65,11.5,-6.5,-6.5
